Page,Section,Image src,Format,Dimensions,File size (bytes),Alt present,Alt text
gallery.html,img,/assets/images/projects/IMG_0567.jpg,jpg,1536x2048,731211,Yes,Residential space with wood ceiling and chandelier lighting
gallery.html,img,/assets/images/projects/control-cabinet.jpg,jpg,1600x2133,323270,Yes,Control cabinet wiring and components
gallery.html,img,/assets/images/projects/service-after.jpg,jpg,1600x1200,234431,Yes,Service upgrade after completion
gallery.html,img,/assets/images/projects/service-upgrade-before.jpg,jpg,1600x2133,358356,Yes,Service upgrade before work
gallery.html,img,/assets/images/projects/barn-photo.jpg,jpg,1536x2048,946367,Yes,Barn interior under construction with wooden beams and pendant lights
gallery.html,img,/assets/images/projects/3-phase-service.jpg,jpg,1600x2133,258387,Yes,3-phase service panel
gallery.html,img,/assets/images/projects/480v-3-phase.jpg,jpg,1600x2133,708425,Yes,480 V three-phase breakers
gallery.html,img,/assets/images/projects/conduit.jpg,jpg,1600x2133,379305,Yes,Metallic conduits neatly aligned
gallery.html,img,/assets/images/projects/conduit-piping.jpg,jpg,1600x2133,311517,Yes,Conduit piping along an industrial wall
gallery.html,img,/assets/images/projects/control-work.jpg,jpg,1600x2133,366637,Yes,Detailed control wiring work
gallery.html,img,/assets/images/projects/dust-collector-motor.jpg,jpg,1600x1200,311750,Yes,Industrial dust collector motor
gallery.html,img,/assets/images/projects/dust-collector-system.jpg,jpg,1600x2133,443067,Yes,Large dust collector system installation
gallery.html,img,/assets/images/projects/motor.jpg,jpg,1600x2133,224727,Yes,Industrial motor equipment
gallery.html,img,/assets/images/projects/pipe-rack.jpg,jpg,1600x2133,297056,Yes,Pipe rack with tidy conduit runs
gallery.html,img,/assets/images/projects/piping.jpg,jpg,1600x2133,284914,Yes,Curved conduits arranged through framing
gallery.html,img,/assets/images/projects/selenoids.jpg,jpg,1600x2133,336758,Yes,Solenoids and small control components
gallery.html,img,/assets/images/projects/transformer.jpg,jpg,1600x2133,390101,Yes,Electrical transformer installation
gallery.html,img,/assets/images/projects/electrical-project-49-1200.jpg,jpg,1600x1200,343244,Yes,Commercial project exterior with lighting install
gallery.html,img,/assets/images/projects/IMG_8164.jpg,jpg,1536x2048,689334,Yes,"Commercial renovation with exposed ceiling, ladder and modern linear lighting"
gallery.html,img,/assets/images/projects/lighting.jpg,jpg,1600x1200,246897,Yes,Commercial lighting installation inside a large space
gallery.html,img,/assets/images/projects/fire-response.jpg,jpg,unknown,0,Yes,Electrical panel after fire response
gallery.html,img,/assets/images/projects/kitchen-led.jpg,jpg,1600x2133,239793,Yes,Under-cabinet LED lighting in a kitchen
gallery.html,img,/assets/images/projects/led-handrail.jpg,jpg,1600x2133,183095,Yes,LED handrail lighting on a staircase
gallery.html,img,/assets/images/projects/led-shelves.jpg,jpg,1600x1200,183441,Yes,Colorful LED shelves
gallery.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
faq.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
faq.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog.html,img,/assets/images/projects/kitchen-led.jpg,jpg,1600x2133,239793,Yes,Electrical safety tips for your home
blog.html,img,/assets/images/projects/control-cabinet.jpg,jpg,1600x2133,323270,Yes,Choosing a residential electrician
blog.html,img,/assets/images/projects/myenergi-4SyUf9MvWjU-unsplash.jpg,jpg,1920x1080,274031,Yes,EV home charging guide
blog.html,img,/assets/images/projects/control-work.jpg,jpg,1600x2133,366637,Yes,Surge protection guide
blog.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-electrical-safety.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-electrical-safety.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-right-electrician.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-right-electrician.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-ev-charging.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-ev-charging.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-surge-protection.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
blog-surge-protection.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
service-areas.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
service-areas.html,img,assets/images/logo.svg,svg,unknown,204,Yes,Top Tier Electrical logo
